Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,WIKI/LRCX,stocks/lrcx,DMDRN/LRCX_ALLFINANCIALRATIOS
LUV,Southwest Airlines Co.,Services,Regional Airlines,WIKI/LUV,stocks/luv,DMDRN/LUV_ALLFINANCIALRATIOS
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,WIKI/LYB,stocks/lyb,DMDRN/LYB_ALLFINANCIALRATIOS
M,"Macy's, Inc.",Services,Department Stores,WIKI/M,stocks/m,DMDRN/M_ALLFINANCIALRATIOS
MA,MasterCard Incorporated,Financial,Credit Services,WIKI/MA,stocks/ma,DMDRN/MA_ALLFINANCIALRATIOS
MAC,The Macerich Company,Financial,REIT - Retail,WIKI/MAC,stocks/mac,DMDRN/MAC_ALLFINANCIALRATIOS
MAR,"Marriott International, Inc.",Services,Lodging,WIKI/MAR,stocks/mar,DMDRN/MAR_ALLFINANCIALRATIOS
MAS,Masco Corporation,Industrial Goods,General Building Materials,WIKI/MAS,stocks/mas,DMDRN/MAS_ALLFINANCIALRATIOS
MAT,"Mattel, Inc.",Consumer Goods,Toys & Games,WIKI/MAT,stocks/mat,DMDRN/MAT_ALLFINANCIALRATIOS
MCD,McDonald's Corp.,Services,Restaurants,WIKI/MCD,stocks/mcd,DMDRN/MCD_ALLFINANCIALRATIOS
MCHP,Microchip Technology Inc.,Technology,Semiconductor - Specialized,WIKI/MCHP,stocks/mchp,DMDRN/MCHP_ALLFINANCIALRATIOS
MCK,McKesson Corporation,Services,Drugs Wholesale,WIKI/MCK,stocks/mck,DMDRN/MCK_ALLFINANCIALRATIOS
MCO,Moody's Corporation,Services,Business Services,WIKI/MCO,stocks/mco,DMDRN/MCO_ALLFINANCIALRATIOS
MDLZ,"Mondelez International, Inc.",Consumer Goods,Confectioners,WIKI/MDLZ,stocks/mdlz,DMDRN/MDLZ_ALLFINANCIALRATIOS
MDT,"Medtronic, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/MDT,stocks/mdt,DMDRN/MDT_ALLFINANCIALRATIOS
